model,time (seconds),input_tokens,output_tokens,input_price_per_1m,output_price_per_1m,total_cost,date (today)
gemini-3-flash-preview,12.447940587997437,37663,919,0.5,3.0,0.0215885,2026-01-03
bedrock-nova-2-lite-v1,15.693136930465698,35828,2010,0.3,2.5,0.0157734,2026-01-03
bedrock-nova-pro-v1,16.215444087982178,37786,550,0.8,3.2,0.031988800000000005,2026-01-03
foundry-gpt-5-mini,16.679085969924927,35905,2233,0.25,2.0,0.01344225,2026-01-03
bedrock-nova-premier-v1,19.519572019577026,37826,315,2.5,12.5,0.0985025,2026-01-03
vertex-claude-haiku-4-5@20251001,27.110819578170776,38457,1926,1.0,5.0,0.048087,2026-01-03
bedrock-claude-haiku-4-5-20251001-v1,27.785367488861084,38457,2052,1.0,5.0,0.048717,2026-01-03
gemini-3-pro-preview,33.22132205963135,37663,1158,2.0,12.0,0.089222,2026-01-03
vertex-claude-opus-4-5@20251101,39.53437662124634,38457,1245,5.0,25.0,0.22341,2026-01-03
vertex-gemini-2.5-flash,42.67872071266174,37662,2142,0.3,2.5,0.016653599999999998,2026-01-03
vertex-gemini-2.5-pro,44.67970418930054,37662,1389,1.25,10.0,0.0609675,2026-01-03
bedrock-claude-sonnet-4-5-20250929-v1,46.92553925514221,38457,2113,3.0,15.0,0.147066,2026-01-03
bedrock-claude-opus-4-5-20251101-v1,56.51832580566406,38457,2462,5.0,25.0,0.253835,2026-01-03
vertex-claude-sonnet-4-5@20250929,79.27365159988403,38457,2490,3.0,15.0,0.152721,2026-01-03
foundry-gpt-5-nano,999.0,0,0,0.0,0.0,0.0,2026-01-03
foundry-gpt-5,999.0,0,0,0.0,0.0,0.0,2026-01-03
foundry-gpt-5-pro,999.0,0,0,0.0,0.0,0.0,2026-01-03
foundry-gpt-5.2,999.0,0,0,0.0,0.0,0.0,2026-01-03
foundry-gpt-5.2-pro,999.0,0,0,0.0,0.0,0.0,2026-01-03
